"Library","License","Source"
"Spring","Apache 2.0","http://springframework.net/license.html"
"Hibernate","LGPL 2.1 / Apache 2.0","http://hibernate.org/community/license/"
"JFreechart","LGPL 3","http://www.jfree.org/jfreechart/"
"Guava","Apache 2.0","https://github.com/google/guava/blob/master/COPYING"
"Apache Commons","Apache 2.0","http://www.apache.org/licenses/"
"Modelmapper","Apache 2.0","https://github.com/jhalterman/modelmapper/blob/master/LICENSE.txt"
"Log4j","Apache 2.0","http://logging.apache.org/log4j/2.x/license.html"
"Slf4j","MIT","http://www.slf4j.org/license.html"
"PostgreSQL JDBC","BSD 3-clause","https://jdbc.postgresql.org/about/license.html"
"XStream","BSD 3-clause","http://x-stream.github.io/license.html"
"JSTL","CDDL 1.1 or GPL 2","https://jstl.java.net/license.html"
"Opt4j","MIT","https://sourceforge.net/p/opt4j/hgroot/ci/default/tree/opt4j/LICENSE"
"Guice","Apache 2.0","https://github.com/google/guice/blob/master/COPYING"
"Jackson","Apache 2.0","http://wiki.fasterxml.com/JacksonLicensing"
"Jython","Python 2","http://www.jython.org/license.html"
"Simantics (simulation scheduling)","EPL 1.0","https://www.simantics.org/about/licensing"
"Jboss transaction API","CDDL 1.1 or GPL 2","https://github.com/jboss/jboss-transaction-api_spec"
"Jcommon","LGPL >= 2.1","http://www.jfree.org/jcommon/"
